Acoustic/Folk_0,Alt_1,Blues_2,Bollywood_3,Country_4,HipHop_5,Indie Alt_6,Instrumental_7,Metal_8,Pop_9,Rock_10
1.2129631e-06,0.0004827667,0.00015935359,1.1750567e-06,9.834516e-07,3.1738713e-05,0.46213388,1.7813376e-06,0.0026143284,0.000275405,0.5342974
5.944358e-07,0.007706218,0.00012252256,1.9291346e-07,2.318784e-07,7.107585e-06,0.0060685533,7.574703e-07,0.52354777,0.00012236726,0.46242368
2.8824479e-08,0.0010630778,1.2712095e-06,2.8609946e-07,6.480071e-07,0.0004047784,0.00089598144,1.8054637e-07,1.2782598e-05,0.9407746,0.056846276
8.919626e-07,0.0043224283,1.9247118e-05,3.5544695e-06,1.6086776e-06,0.015749432,0.002307125,7.813854e-07,0.0008194408,0.94347245,0.033303015
0.002300755,0.01825226,0.00041709328,9.052156e-05,0.038723107,0.000121766854,0.0001726869,6.353256e-05,0.00077078457,0.92019624,0.018891312
3.884372e-08,0.016442435,3.3291803e-05,9.3501575e-07,5.4057587e-08,0.00013080041,0.9753004,3.608833e-06,0.001448502,0.0008954327,0.005744556
2.4715716e-06,0.47951722,0.00092599,3.9789393e-06,3.1551315e-06,0.00031161078,0.48295575,1.7719642e-06,0.001238919,0.002893512,0.03214565
4.6332592e-05,0.072613515,0.0024950313,6.7291517e-06,1.2884103e-06,0.000375262,0.06457625,5.9438835e-06,0.26922017,0.0001117592,0.59054774
8.8822554e-07,0.46153682,0.00038976816,1.3415035e-07,3.6021248e-07,1.3702447e-05,0.010546466,6.5676466e-07,0.0043750587,0.45771414,0.065422036
7.4648815e-05,0.019092182,0.67358416,3.2180867e-06,2.564732e-07,9.93196e-05,0.027141105,2.3716195e-06,2.1317519e-05,0.0009175199,0.27906397
1.755342e-07,0.006903309,0.0010748565,1.6447246e-06,1.3697925e-06,0.00018094873,0.027593458,1.3480054e-06,0.0031879155,0.0028356018,0.9582194
3.1893285e-06,0.47631446,0.008543821,7.178583e-08,4.9924563e-07,1.5670752e-05,0.48217425,7.623121e-07,4.9868086e-05,0.00016670846,0.032730732
8.5684135e-08,0.01205176,6.901036e-05,5.0382882e-06,3.7009056e-06,1.5267206e-05,0.0253207,7.7039067e-07,0.26110134,0.0007323839,0.7006999
5.656209e-09,5.5423247e-05,9.447779e-08,1.0792968e-08,8.734052e-08,0.99815243,0.00011378013,1.0304991e-08,3.2468627e-08,0.0015620394,0.00011603907
8.560266e-07,0.07023071,0.0001225693,3.1977054e-06,1.2790127e-05,4.0325294e-06,0.1516574,9.843047e-07,0.06965409,0.02838702,0.6799264
7.454414e-08,0.00031256492,4.8209917e-05,3.1663302e-07,3.1227574e-07,0.0011892291,0.00018704981,2.9952176e-07,0.0070610372,0.00034429424,0.99085665
8.392598e-05,0.002372101,0.0018774671,6.122406e-06,3.005996e-07,0.0007600451,0.0037295455,1.5946504e-06,0.00075206766,0.12504023,0.86537665
8.2668987e-07,0.0012575577,1.1661994e-05,4.2902712e-07,8.815914e-08,1.5763066e-05,0.0007545724,7.365098e-07,0.07277804,5.7077787e-06,0.9251746
3.0876067e-06,0.085153006,0.0008849108,7.1239816e-07,2.1074642e-07,1.3669868e-05,0.40004286,5.8778965e-06,0.0021965865,0.0010728315,0.51062626
9.193025e-06,7.5147072e-06,2.7424069e-06,3.2277999e-06,0.00032631212,0.00040983548,3.9689843e-05,1.8772208e-06,4.7490198e-07,0.9989157,0.0002835049
0.00037360573,0.00020317629,0.00015658155,9.2025664e-05,0.0007470961,1.186196e-05,0.00011614179,9.243233e-06,2.1682223e-07,0.9982741,1.6010128e-05
5.0606656e-07,0.013131621,0.00014072616,1.9312956e-06,8.217793e-06,5.4241835e-05,0.77974135,6.124439e-07,0.0013408216,0.01247946,0.19310056
2.5356716e-05,0.0003027579,0.973451,4.0941248e-07,1.0794701e-08,0.008410107,0.0026892007,3.4020817e-07,1.5384928e-06,0.0057012695,0.009417952
