Acoustic/Folk_0,Alt_Music_1,Blues_2,Bollywood_3,Country_4,HipHop_5,Indie Alt_6,Instrumental_7,Metal_8,Pop_9,Rock_10
9.373754e-05,0.048984744,0.0072869286,7.637907e-05,8.107427e-05,0.0021877794,0.08020531,4.863777e-05,0.031395186,0.013580598,0.8160596
5.3868007e-05,0.010891698,0.006580146,4.1773586e-05,7.22413e-05,0.002452085,0.0505195,4.9359096e-05,0.65013677,0.013724806,0.26547778
4.2765016e-05,0.045732148,0.0013652894,3.761126e-05,0.00015078818,0.034976486,0.032601118,6.5816894e-05,0.0014411099,0.7550581,0.12852879
6.597261e-05,0.049256716,0.0028582423,0.00011211482,8.2585226e-05,0.024882639,0.042419307,7.415653e-05,0.03382511,0.6942937,0.15212947
0.0011288696,0.00010741989,0.00033896475,0.0007527739,0.0024397445,0.00015516022,0.000100126534,4.4791654e-05,0.0005591756,0.99102646,0.0033465012
0.00011099748,0.16512734,0.040369343,0.00014855733,0.00012836074,0.014474138,0.38564274,8.641632e-05,0.028188929,0.05124662,0.31447658
0.00023884019,0.17768359,0.033043426,0.00025448858,0.00019933154,0.026761578,0.19910473,0.00017286261,0.020793725,0.075056836,0.46669063
8.85982e-05,0.008045845,0.027537974,8.559874e-05,0.00010577253,0.0043922896,0.103120476,8.151407e-05,0.28517488,0.0077103437,0.5636567
0.000105545834,0.15861581,0.025161244,6.725268e-05,0.00017071517,0.002488448,0.16108683,8.922645e-05,0.10996472,0.08719958,0.4550506
0.00028063182,0.01562949,0.10057939,0.00024163074,0.00021965361,0.019359738,0.03295371,0.00016484497,0.005693723,0.09755082,0.72732633
7.952684e-05,0.16097005,0.025463274,8.5496846e-05,0.00022894767,0.008994321,0.2759684,7.2738214e-05,0.09872822,0.0656435,0.36376554
0.00021312697,0.21665607,0.09780771,9.5075884e-05,0.0001918883,0.0071575935,0.20140408,0.00011316067,0.009626381,0.038618244,0.42811662
8.5893415e-05,0.07738213,0.005401702,5.576471e-05,0.0001911237,0.0029133076,0.101338856,4.3538625e-05,0.3300172,0.035221506,0.447349
3.920777e-05,0.01752272,0.0019385024,3.003651e-05,6.0863073e-05,0.8492594,0.019511806,1.5719188e-05,0.0006234138,0.09356534,0.017433029
