Acoustic/Folk_0,Alt_Music_1,Blues_2,Bollywood_3,Country_4,HipHop_5,Indie Alt_6,Instrumental_7,Metal_8,Pop_9,Rock_10
0.025706554,0.03940264,0.027766058,0.025706554,0.025706554,0.026582126,0.055607397,0.02570814,0.041870695,0.04843738,0.6575059
0.018274983,0.028360618,0.018836236,0.018274983,0.018274983,0.019023946,0.03845092,0.01827611,0.645831,0.022308655,0.15408753
0.025171436,0.0318003,0.025394738,0.025171436,0.025171436,0.051597763,0.036919903,0.02517299,0.027906524,0.63249534,0.09319811
0.02051054,0.04084828,0.020808423,0.02051054,0.02051054,0.021933056,0.039922494,0.020511804,0.021566581,0.52514577,0.24773197
0.022374041,0.013094451,0.014075712,0.01557158,0.11988841,0.014113353,0.013020622,0.013310853,0.038035627,0.7085191,0.027996238
0.042968426,0.08673741,0.050166707,0.042968426,0.042968426,0.054471638,0.36481482,0.04297035,0.11188436,0.08189823,0.078151196
0.04459306,0.091919854,0.046190206,0.04459306,0.04459306,0.047268253,0.11865496,0.04459581,0.046953674,0.07820946,0.39242864
0.030667307,0.04914332,0.056365427,0.030667307,0.030667307,0.03149166,0.057554137,0.030669201,0.19500507,0.036957197,0.45081207
0.034585547,0.066366464,0.03686719,0.034585547,0.034585547,0.03702903,0.08851075,0.03458768,0.06266198,0.076819316,0.49340093
0.040705886,0.04842754,0.27044225,0.040705886,0.040705886,0.04195393,0.11129278,0.040708393,0.044295833,0.048195653,0.272566
0.036460396,0.0660191,0.03915945,0.036460396,0.036460396,0.05114313,0.20752048,0.036462642,0.05671182,0.049948107,0.38365406
0.03188556,0.06351942,0.10614912,0.03188556,0.03188556,0.03395905,0.10716576,0.031887528,0.033309925,0.08188733,0.44646516
0.023988117,0.036682386,0.024337571,0.023988117,0.023988117,0.02628551,0.041376382,0.023989597,0.21474575,0.033605725,0.5270127
0.0064224093,0.007151598,0.008145555,0.0064224093,0.0064224093,0.9211916,0.00802549,0.0064228047,0.006583437,0.014932029,0.008280293
0.031439986,0.07023679,0.033963464,0.031439986,0.031439986,0.03445687,0.14265506,0.03144193,0.07863365,0.044036318,0.470256
0.035773266,0.04980372,0.04065075,0.035773266,0.035773266,0.17429206,0.051162373,0.03577547,0.13266167,0.06618595,0.34214824
0.036280725,0.045264903,0.05084684,0.036280725,0.036280725,0.039402906,0.07873161,0.036282964,0.05029353,0.076409936,0.51392514
0.017702637,0.025226396,0.018268568,0.017702637,0.017702637,0.018661834,0.027163906,0.01770373,0.69504905,0.020834941,0.123983696
0.04277035,0.09353735,0.049946733,0.04277035,0.04277035,0.043865763,0.09101258,0.04277299,0.088944115,0.045476086,0.41613328
0.01015414,0.00805711,0.0081135025,0.011150019,0.009706175,0.009181001,0.008071311,0.008257935,0.008254364,0.90368843,0.015365983
0.13990605,0.050354008,0.06307175,0.063301764,0.08294443,0.055771038,0.049920682,0.051033422,0.051473178,0.3090612,0.08316246
0.028142486,0.05785645,0.028435113,0.028142486,0.028142486,0.031376034,0.06738367,0.028144225,0.0352284,0.044931903,0.62221676
0.023726208,0.029223498,0.6630455,0.023726208,0.023726208,0.0317314,0.037197348,0.023727672,0.028276594,0.047766723,0.06785258
0.033478696,0.07526164,0.05376419,0.033478696,0.033478696,0.037269738,0.5234022,0.033480763,0.0342821,0.05129699,0.09080628
0.041456163,0.09504043,0.047768667,0.041456163,0.041456163,0.04488257,0.3109393,0.041458722,0.043204717,0.058194883,0.23414218
0.029132215,0.042498898,0.030535743,0.029132215,0.029132215,0.029878337,0.052993305,0.029134013,0.30405843,0.03129768,0.39220697
0.03958457,0.081719935,0.12102444,0.03958457,0.03958457,0.04218825,0.26794726,0.039587002,0.044229016,0.052355904,0.23219448
0.0040232795,0.00264221,0.002688384,0.96877396,0.0027848373,0.0027777855,0.0026397773,0.0028510191,0.0027078183,0.0048087738,0.003302144
0.024281412,0.036817264,0.025711492,0.024281412,0.024281412,0.025333006,0.03492122,0.024282912,0.21147786,0.05484145,0.5137705
0.022108726,0.042327832,0.022888687,0.022108726,0.022108726,0.022673285,0.037896544,0.022110092,0.57040817,0.023507368,0.19186184
0.028084902,0.06144846,0.030466458,0.028084902,0.028084902,0.029020717,0.07676931,0.028086636,0.031653564,0.033677883,0.6246222
0.0033153482,0.004383007,0.0034049791,0.0033153482,0.0033153482,0.003396333,0.0043139253,0.0033155521,0.9324031,0.0036334551,0.03520364
0.03442408,0.043433484,0.22400708,0.03442408,0.03442408,0.040084798,0.06838847,0.03442621,0.038054504,0.312511,0.13582225
0.116363786,0.0401154,0.044865184,0.065201096,0.042000853,0.057086755,0.0401154,0.04100958,0.041139707,0.45328566,0.058816537
0.017116038,0.021400174,0.01735625,0.017116038,0.017116038,0.026222,0.024926463,0.017117094,0.0176357,0.7834549,0.040539343
0.035007652,0.058570072,0.0779692,0.035007652,0.035007652,0.038918033,0.060270112,0.035009813,0.039754666,0.23557691,0.34890825
0.010820374,0.017499734,0.011112905,0.010820374,0.010820374,0.0110975,0.015187482,0.01082104,0.75216484,0.011682583,0.13797276
0.044007182,0.09691061,0.0833962,0.044007182,0.044007182,0.045125294,0.086810194,0.0440099,0.07095699,0.048346855,0.3924224
0.038300894,0.046173453,0.07922186,0.038300894,0.038300894,0.05163383,0.061045617,0.03830326,0.040077273,0.4336329,0.13500907
0.03373,0.04627442,0.057453662,0.03373,0.03373,0.036546815,0.05359641,0.033732083,0.06190194,0.110232584,0.49907207
0.054459404,0.11965713,0.11843644,0.054459404,0.054459404,0.07483897,0.15479757,0.05446275,0.056961145,0.09931711,0.15815067
0.03731967,0.06633974,0.31769457,0.03731967,0.03731967,0.04917367,0.19856639,0.037482258,0.041613385,0.04944502,0.12772596
0.037753712,0.051786084,0.039380517,0.037753712,0.037753712,0.043616388,0.06005226,0.037756044,0.11728184,0.046293784,0.49057198
0.04228292,0.09232774,0.05241923,0.04228292,0.04228292,0.043348476,0.10977833,0.042284817,0.120761536,0.044957824,0.36727327
0.043456975,0.086672604,0.045336824,0.043456975,0.043456975,0.04544213,0.09866179,0.04345966,0.048822045,0.08219908,0.41903496
0.0414746,0.09001165,0.046744507,0.0414746,0.0414746,0.042519793,0.10122051,0.041477162,0.09295276,0.044130024,0.4165198
0.040940244,0.07715944,0.04488867,0.040940244,0.040940244,0.044111714,0.10094165,0.04094277,0.043614294,0.12600976,0.39951095
0.02680489,0.05609331,0.027869498,0.02680489,0.02680489,0.029322403,0.06364625,0.026806546,0.028300025,0.13148767,0.5560596
0.028193954,0.055800904,0.028583614,0.028193954,0.028193954,0.029083967,0.06795621,0.028195696,0.052236836,0.033605058,0.61995584
0.028740153,0.06052469,0.030102666,0.028740153,0.028740153,0.029481046,0.058531232,0.028741928,0.1324135,0.03058025,0.5434042
0.019612253,0.034246027,0.020536503,0.019612253,0.019612253,0.02013109,0.030417696,0.019613465,0.37964347,0.022777358,0.41379762
0.011970692,0.01781344,0.012378376,0.011970692,0.011970692,0.015775356,0.02041811,0.011971429,0.83583176,0.013796841,0.036102645
0.025898216,0.04673658,0.029366752,0.025898216,0.025898216,0.026639821,0.053874604,0.025899816,0.19181678,0.03180969,0.5161613
0.009385575,0.0135387005,0.028894749,0.009385575,0.009385575,0.84847057,0.016626429,0.009386152,0.009807294,0.019723542,0.025395881
0.03187637,0.050448194,0.035209563,0.03187637,0.03187637,0.033453148,0.122554675,0.031878337,0.12573366,0.21266331,0.29242998
0.0064502275,0.007830173,0.008777222,0.0064502275,0.0064502275,0.9201314,0.010212314,0.0064506247,0.00813262,0.011822232,0.007292773
0.036394674,0.043373045,0.05184605,0.036394674,0.036394674,0.044085663,0.05931031,0.03641456,0.03888185,0.4597868,0.15711768
0.03342386,0.06906646,0.081496626,0.03342386,0.03342386,0.03434494,0.118841134,0.033425923,0.043429844,0.03948359,0.47963995
0.032580364,0.07159863,0.03448081,0.032580364,0.032580364,0.033434328,0.0548966,0.032582376,0.09874579,0.035861667,0.5406587
0.026638232,0.058272664,0.02934138,0.026638232,0.026638232,0.09133874,0.25064972,0.026639875,0.027785743,0.40467197,0.03138524
0.02938826,0.061520286,0.032044314,0.02938826,0.02938826,0.030323718,0.07396132,0.029390074,0.032500736,0.0437469,0.6083479
0.03601065,0.08732993,0.049411483,0.03601065,0.03601065,0.044127293,0.5044131,0.036012262,0.04081336,0.055815104,0.07404545
0.025611231,0.04059079,0.025862206,0.025611231,0.025611231,0.028108146,0.037792753,0.02561281,0.035060685,0.15391216,0.5762267
0.051980816,0.06587927,0.19884384,0.051980816,0.051980816,0.09436454,0.14510335,0.051984016,0.055966374,0.12068058,0.1112356
0.04146784,0.08813816,0.04487651,0.04146784,0.04146784,0.14403413,0.11013722,0.041470405,0.042996842,0.3567489,0.04719434
0.051117793,0.10628428,0.1188703,0.051117793,0.051117793,0.074364886,0.15876314,0.051120933,0.057257812,0.09319126,0.18679397
0.020592451,0.014455382,0.015501615,0.015950246,0.049001727,0.01964831,0.0144553855,0.014777599,0.014817821,0.7771073,0.043692205
0.025087487,0.033357512,0.025304817,0.025087487,0.025087487,0.032637626,0.0374062,0.025089037,0.10919037,0.08078568,0.5809663
