Acoustic/Folk_0,Alt_Music_1,Blues_2,Bollywood_3,Country_4,HipHop_5,Indie Alt_6,Instrumental_7,Metal_8,Pop_9,Rock_10
0.0,0.11585312,0.024898147,2.422419e-39,0.0,0.0077195596,0.098318495,0.0,0.041081667,0.013135801,0.6989932
0.0,0.07259074,0.016138522,3.2298033e-28,0.0,0.043580517,0.117336094,9.552811e-38,0.3533909,0.06604214,0.33092108
0.0,0.11133634,0.012598596,2.773159e-26,0.0,0.0995347,0.13990003,5.692409e-34,0.031480152,0.27485391,0.33029622
0.0,0.0828901,0.0022542598,1.151944e-22,0.0,0.021350222,0.06904478,1.7706677e-28,0.1598555,0.21332534,0.4512798
0.15379348,0.051253293,0.0024100277,0.010937932,0.21230043,0.007825257,0.06504554,8.301066e-05,0.076232016,0.19191669,0.2282023
0.0,0.1640483,0.049734026,2.7576e-41,0.0,0.009451408,0.37603894,0.0,0.08060682,0.014303913,0.30581662
0.0,0.12440923,0.048055265,1.313862e-27,0.0,0.01072288,0.13782136,1.3830902e-35,0.026302284,0.045977183,0.6067118
0.0,0.09529091,0.05136062,8.37485e-18,0.0,0.022085981,0.16733392,1.2764567e-25,0.13838749,0.11385373,0.41168734
0.0,0.095313855,0.043684807,8.559696e-31,0.0,0.034468714,0.18691637,5.60353e-40,0.10838823,0.091676965,0.43955103
0.0,0.09371111,0.18578205,1.9462945e-28,0.0,0.012797811,0.1745115,3.590446e-38,0.04221484,0.06621399,0.42476872
0.0,0.104831174,0.023126973,4.960264e-27,0.0,0.24183819,0.13798593,8.697756e-37,0.094685316,0.12777917,0.26975328
0.0,0.09496708,0.0603667,5.6388085e-22,0.0,0.0041215713,0.121923566,1.9667637e-29,0.08070431,0.036229502,0.6016873
0.0,0.089082435,0.02145356,9.198918e-36,0.0,0.018328883,0.12564321,0.0,0.14471903,0.059563704,0.54120916
0.0,0.042331796,0.018416682,3.3635584e-20,0.0,0.6046276,0.07434146,4.3961537e-28,0.009090048,0.19937336,0.05181902
0.0,0.09362855,0.010686592,1.1435649e-32,0.0,0.037153397,0.14554188,2.372e-42,0.14949325,0.13182867,0.43166766
0.0,0.04177332,0.0046586916,2.5618778e-25,0.0,0.18606992,0.067906044,8.8605665e-35,0.4020805,0.11788221,0.17962928
0.0,0.09822886,0.07606435,6.250345e-32,0.0,0.05742852,0.22157921,6.596e-41,0.11060408,0.06029377,0.3758012
0.0,0.05741871,0.011209337,6.6726053e-28,0.0,0.032849725,0.07564905,2.7917573e-38,0.5646004,0.02290002,0.23537277
0.0,0.14007768,0.016542632,1.6418152e-20,0.0,0.003848974,0.25050834,8.6846e-27,0.25869817,0.020909084,0.30941507
0.01609661,0.023812713,0.00051277026,0.006090096,0.0065942807,0.703945,0.028290767,9.069675e-05,0.0030976927,0.19755632,0.013913089
0.17011113,0.038040303,0.009873287,0.024591971,0.30016622,0.010993579,0.06861242,0.00016262376,0.012211402,0.24514407,0.120092995
0.0,0.08816426,0.011286043,1.1160423e-27,0.0,0.034115475,0.09181889,2.7144094e-36,0.16641456,0.14875944,0.45944136
0.0,0.07240989,0.2387138,6.7e-44,0.0,0.13293236,0.18330662,0.0,0.123806976,0.027210372,0.22162005
0.0,0.145045,0.05646046,1.621833e-17,0.0,0.044211715,0.40561917,1.0572305e-21,0.011134016,0.14761774,0.18991186
0.0,0.120367005,0.050990548,1.06904566e-26,0.0,0.026274325,0.21758175,2.4764624e-34,0.008662752,0.2161585,0.35996515
0.0,0.04797548,0.031814873,3.1e-44,0.0,0.004234248,0.067468986,0.0,0.42402813,0.0038879586,0.4205903
0.0,0.09612926,0.28196988,1.4245476e-29,0.0,0.014932451,0.1710653,3.585641e-39,0.012759762,0.027387396,0.39575598
0.045990493,0.0035950567,0.05637029,0.8236481,0.035977416,0.00030309436,0.006419418,0.0007196167,1.2494841e-05,0.01730106,0.009662957
0.0,0.09611215,0.014435526,1.6277678e-37,0.0,0.01687898,0.0805206,0.0,0.08979033,0.05372826,0.6485342
0.0,0.10598621,0.011704018,2.7627545e-20,0.0,0.0022015283,0.21966165,4.787181e-27,0.3470702,0.013450244,0.29992616
0.0,0.13788363,0.03338496,3.9292143e-29,0.0,0.015980178,0.13524304,4.4080536e-37,0.02659003,0.0332899,0.6176283
0.0,0.029768823,0.011754108,1.7871e-41,0.0,0.005018868,0.046115693,0.0,0.64082295,0.00813088,0.25838867
0.0,0.06622351,0.29459164,1.1256727e-37,0.0,0.081833445,0.17208968,0.0,0.031303644,0.08507579,0.2688823
0.019875212,0.052704852,0.026678773,0.016139627,0.049501803,0.045357805,0.09605739,2.4818508e-05,0.017767005,0.46620393,0.20968881
0.0,0.09124103,0.012929308,5.9269077e-25,0.0,0.112492025,0.114670746,5.9155025e-32,0.014567895,0.39066157,0.2634374
0.0,0.090239644,0.15859841,1.0632059e-28,0.0,0.017722886,0.13791122,5.303817e-39,0.033169247,0.11333215,0.4490264
0.0,0.052307274,0.0069716526,4.3509405e-31,0.0,0.027855918,0.0809933,3.3079e-41,0.46864334,0.06683588,0.29639265
0.0,0.124178514,0.101261854,1.490178e-18,0.0,0.017160319,0.20327641,8.605627e-26,0.070272416,0.062331244,0.42151928
0.0,0.08134396,0.19030489,5.8786734e-26,0.0,0.096838996,0.20816483,4.0688866e-33,0.012443534,0.21282807,0.1980757
0.0,0.078487866,0.068321824,8.892298e-37,0.0,0.016285779,0.1289508,0.0,0.15334465,0.062372953,0.49223617
0.0,0.05501707,0.1431568,1.0854293e-27,0.0,0.21847744,0.14343327,9.1248646e-36,0.0010171643,0.34935513,0.08954316
